id,area,type,category,description,status,priority,progress,businessValueScore,roiProjection,costEstimate,maturityLevel_level,maturityLevel_score,maturityLevel_description,applicability_type,applicability_description,applicability_weight,implementationPhase,businessJustification,consequences_immediate,consequences_type,consequences_impact,assignee,dueDate,lastUpdated,cafPrinciple,cafPrinciple2,nisReference
BR-F13,Business,Functional,Backup & Recovery,Provide mechanisms for secure data backup and recovery across segmented networks.,Under Review,Critical,23,4.6,92,315079,Optimizing,5,Continuously improving,Conditional,Depends on other factors,0.4,Phase 2 (6-12 months),This backup & recovery supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Operational,Significant,Operations Team,28/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F14,Business,Functional,Access Control & Authentication,Implement network access control (NAC) to ensure only authorized devices can connect to the OT network.,Under Review,Critical,32,2,144,162779,Initial,1,"Ad-hoc, no formal process",Future,Planned for future phases,0.6,Phase 1 (0-6 months),This access control & authentication supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Compliance,Severe,Security Team,07/07/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F15,Business,Functional,Time Synchronisation & Management,Enable secure time synchronization across all segments of the OT network.,Completed,Medium,58,4,151,63014,Optimizing,5,Continuously improving,Essential,Critical for operations,1,Phase 2 (6-12 months),This time synchronisation & management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Operational,Significant,Compliance Team,09/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F16,Business,Functional,Network Architecture & Design,Implement micro-segmentation capabilities to further isolate critical assets within the OT network.,On Hold,High,13,4.1,219,307682,Initial,1,"Ad-hoc, no formal process",Future,Planned for future phases,0.6,Future (24+ months),This network architecture & design supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Compliance,Moderate,Security Team,10/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F17,Business,Functional,Network Architecture & Design,Provide the ability to create and manage virtual LANs (VLANs) for logical segmentation within the OT network.,On Hold,Low,77,2.9,105,80188,Developing,2,Some processes defined,Essential,Critical for operations,1,Future (24+ months),This network architecture & design supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Compliance,Severe,Compliance Team,02/08/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F18,Business,Functional,Integration Capabilities,Implement secure APIs for integrating segmentation controls with other security and management systems.,Under Review,Critical,16,2.1,224,493807,Optimizing,5,Continuously improving,Not Applicable,Not relevant to current scope,,Phase 2 (6-12 months),This integration capabilities supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Compliance,Significant,Operations Team,03/09/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F19,Business,Functional,Secure Data Flow,Enable the use of data diodes or unidirectional gateways where strict one-way communication is required.,Under Review,Critical,67,2.3,113,356005,Developing,2,Some processes defined,Not Applicable,Not relevant to current scope,,Future (24+ months),This secure data flow supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Compliance,Severe,Identity Team,20/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F20,Business,Functional,Remote Management & Monitoring,Implement secure protocols for remote monitoring and management of OT devices across segmented networks.,On Hold,Medium,26,4.5,177,227815,Initial,1,"Ad-hoc, no formal process",Future,Planned for future phases,0.6,Phase 1 (0-6 months),This remote management & monitoring supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Security,Minor,Identity Team,17/07/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F21,Business,Functional,Device & Firmware Management,Provide mechanisms for secure firmware updates across segmented OT networks.,In Progress,High,54,2,240,455966,Managed,4,Measured and controlled,Applicable,Relevant and beneficial,0.8,Phase 2 (6-12 months),This device & firmware management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Operational,Moderate,Security Team,23/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F22,Business,Functional,Monitoring & Detection,Implement network-based intrusion detection and prevention systems (IDS/IPS) tailored for OT environments.,Completed,Medium,10,4.9,218,378248,Initial,1,"Ad-hoc, no formal process",Conditional,Depends on other factors,0.4,Future (24+ months),This monitoring & detection supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Significant,Security Team,26/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F23,Business,Functional,Integration Capabilities,Enable secure integration with existing identity and access management (IAM) systems.,Completed,Critical,36,1.7,98,481271,Initial,1,"Ad-hoc, no formal process",Future,Planned for future phases,0.6,Future (24+ months),This integration capabilities supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Operational,Severe,Network Team,10/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F24,Business,Functional,Integration Capabilities,Implement network segmentation-aware security information and event management (SIEM) capabilities.,On Hold,Critical,23,2.1,123,308806,Managed,4,Measured and controlled,Essential,Critical for operations,1,Future (24+ months),This integration capabilities supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Compliance,Severe,Identity Team,26/07/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F25,Business,Functional,Device & Firmware Management,"Provide the ability to create and enforce network segmentation policies based on device type, function, and criticality.",Under Review,Low,92,4.9,41,517402,Initial,1,"Ad-hoc, no formal process",Applicable,Relevant and beneficial,0.8,Phase 1 (0-6 months),This device & firmware management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Security,Moderate,Network Team,06/07/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F26,Business,Functional,Integration Capabilities,Enable secure integration with industrial data historians and other OT-specific data repositories.,Under Review,High,15,3.6,186,344903,Developing,2,Some processes defined,Essential,Critical for operations,1,Phase 3 (12-24 months),This integration capabilities supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Operational,Moderate,Network Team,17/09/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F27,Business,Functional,Secure Data Flow,Implement secure mechanisms for data exchange between different security zones or levels (as defined in ISA/IEC 62443).,Under Review,High,17,3.8,178,333718,Managed,4,Measured and controlled,Applicable,Relevant and beneficial,0.8,Phase 3 (12-24 months),This secure data flow supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Operational,Significant,Network Team,03/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F28,Business,Functional,Monitoring & Detection,Provide capabilities for network traffic analysis and anomaly detection specific to OT protocols and behaviors.,Not Started,Medium,33,3.5,143,115906,Managed,4,Measured and controlled,Conditional,Depends on other factors,0.4,Phase 2 (6-12 months),This monitoring & detection supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Operational,Moderate,Compliance Team,26/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F29,Business,Functional,Data Exchange & External Integration,Enable secure integration with operational data analytics platforms while maintaining network segmentation.,Completed,Critical,92,3.1,260,55475,Optimizing,5,Continuously improving,Essential,Critical for operations,1,Phase 2 (6-12 months),This data exchange & external integration supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Financial,Minor,Network Team,02/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F30,Business,Functional,Remote Access,Implement mechanisms for secure remote vendor access to specific OT network segments when required for support or maintenance.,Under Review,High,22,4.9,53,40045,Defined,3,Documented and standardized,Future,Planned for future phases,0.6,Future (24+ months),This remote access supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Operational,Significant,Operations Team,10/07/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F31,Business,Functional,Integration Capabilities,Enable integration with industrial Internet of Things (IIoT) platforms while maintaining secure network segmentation.,Completed,Medium,62,2.6,56,45027,Managed,4,Measured and controlled,Future,Planned for future phases,0.6,Future (24+ months),This integration capabilities supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Compliance,Minor,Identity Team,15/08/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F32,Business,Functional,"Multi-site, Multi-tenant & Geographic Distribution",Provide capabilities for secure multi-site and multi-tenant OT network segmentation management.,In Progress,Medium,2,1.3,224,286195,Developing,2,Some processes defined,Future,Planned for future phases,0.6,Future (24+ months),"This multi-site, multi-tenant & geographic distribution supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.",Compliance gap,Security,Minor,Network Team,19/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F33,Business,Functional,Advanced Technologies,Implement AI-driven predictive analytics for anticipating potential segmentation breaches or policy conflicts.,Under Review,Medium,84,4.6,182,456464,Defined,3,Documented and standardized,Essential,Critical for operations,1,Phase 1 (0-6 months),This advanced technologies supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Compliance,Minor,Network Team,17/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F34,Business,Functional,Advanced Technologies,Support dynamic segmentation that can automatically adjust based on threat intelligence and real-time risk assessments.,Completed,Critical,68,2.1,217,168912,Developing,2,Some processes defined,Not Applicable,Not relevant to current scope,,Phase 3 (12-24 months),This advanced technologies supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Compliance,Moderate,Identity Team,08/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F35,Business,Functional,Integration Capabilities,Enable secure integration with emerging 5G and edge computing technologies in OT environments.,On Hold,Medium,47,3.5,134,423637,Initial,1,"Ad-hoc, no formal process",Applicable,Relevant and beneficial,0.8,Phase 2 (6-12 months),This integration capabilities supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Compliance,Severe,Identity Team,24/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F36,Business,Functional,Data Exchange & External Integration,Provide mechanisms for secure data sharing and collaboration across segmented networks with partners and vendors.,Not Started,Medium,89,4.8,145,263140,Optimizing,5,Continuously improving,Conditional,Depends on other factors,0.4,Future (24+ months),This data exchange & external integration supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Financial,Minor,Operations Team,27/03/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F37,Business,Functional,Advanced Technologies,Implement blockchain or distributed ledger technology for immutable logging of segmentation policy changes and access attempts.,Not Started,Critical,83,4.3,78,313783,Defined,3,Documented and standardized,Essential,Critical for operations,1,Phase 1 (0-6 months),This advanced technologies supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Security,Significant,Security Team,25/05/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F38,Business,Functional,Advanced Technologies,Support integration with digital twin technologies for simulating and testing segmentation strategies.,Not Started,Low,84,3.6,159,27737,Defined,3,Documented and standardized,Conditional,Depends on other factors,0.4,Future (24+ months),This advanced technologies supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Operational,Moderate,Compliance Team,24/10/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F39,Business,Functional,"Multi-site, Multi-tenant & Geographic Distribution",Enable seamless segmentation across hybrid cloud-OT environments.,On Hold,Critical,60,2.9,220,53727,Developing,2,Some processes defined,Future,Planned for future phases,0.6,Phase 2 (6-12 months),"This multi-site, multi-tenant & geographic distribution supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.",Compliance gap,Financial,Severe,Compliance Team,02/10/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F40,Business,Functional,Advanced Technologies,Provide capabilities for segmenting and securing operational data used in machine learning and AI applications within OT environments.,Completed,Low,78,2.3,90,165051,Managed,4,Measured and controlled,Conditional,Depends on other factors,0.4,Phase 2 (6-12 months),This advanced technologies supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Operational,Moderate,Security Team,16/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF1,Business,Non-Functional,Compliance & Regulatory Management,"Ensure that the network segmentation solution complies with relevant industry standards and regulations for OT security (e.g., IEC 62443, NIST SP 800-82).",In Progress,Medium,7,3.8,94,286615,Developing,2,Some processes defined,Essential,Critical for operations,1,Phase 1 (0-6 months),This compliance & regulatory management supports regulatory compliance and operational security. Mapped to A1: Governance. Addresses NIS Regulation 10(1) - Compliance with industry standards.,Operational risk,Operational,Severe,Network Team,25/08/2025,06/06/2025,A1: Governance,A2: Risk management,NIS Regulation 10(1) - Compliance with industry standards
BR-NF2,Business,Non-Functional,Operational Continuity & Minimal Disruption,"Minimize impact on existing OT operations and processes while implementing security measures, ensuring no disruption to critical operations.",On Hold,High,31,3.3,207,446008,Optimizing,5,Continuously improving,Applicable,Relevant and beneficial,0.8,Phase 3 (12-24 months),This operational continuity & minimal disruption supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >. Addresses NIS Regulation 10(2)(e) - Ongoing verification and assessment.,Operational risk,Security,Severe,Identity Team,24/08/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,NIS Regulation 10(2)(e) - Ongoing verification and assessment
BR-NF3,Business,Non-Functional,Performance & Scalability,Provide scalability to accommodate future growth and changes in the OT environment for at least the next 5 years.,Not Started,Low,62,4.3,28,241125,Optimizing,5,Continuously improving,Applicable,Relevant and beneficial,0.8,Phase 1 (0-6 months),This performance & scalability supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Financial,Severe,Operations Team,28/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF4,Business,Non-Functional,Performance & Scalability,Ensure high availability (99.99% uptime) and reliability of the segmented OT network to support critical operations.,Not Started,Critical,2,2.4,28,444244,Developing,2,Some processes defined,Applicable,Relevant and beneficial,0.8,Phase 3 (12-24 months),This performance & scalability supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Security,Severe,Security Team,17/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF5,Business,Non-Functional,OT-Specific Requirements,"Implement security measures that are appropriate for the specific constraints and requirements of OT systems (e.g., real-time operations, legacy systems).",On Hold,Low,55,2.4,183,155009,Initial,1,"Ad-hoc, no formal process",Conditional,Depends on other factors,0.4,Phase 1 (0-6 months),This ot-specific requirements supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Security,Significant,Identity Team,08/03/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF6,Business,Non-Functional,Supportability & Maintenance,Ensure that the segmentation solution can be managed and maintained by existing IT/OT staff with appropriate training.,In Progress,Critical,49,1.5,82,305024,Initial,1,"Ad-hoc, no formal process",Conditional,Depends on other factors,0.4,Phase 2 (6-12 months),This supportability & maintenance supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Significant,Operations Team,20/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF7,Business,Non-Functional,Performance & Scalability,Maintain or improve current network performance levels after implementing segmentation.,Not Started,High,19,3.6,272,474213,Managed,4,Measured and controlled,Future,Planned for future phases,0.6,Future (24+ months),This performance & scalability supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Operational,Moderate,Operations Team,07/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF8,Business,Non-Functional,Compatibility & Integration,"Ensure compatibility with existing OT hardware and software, including legacy systems.",Completed,Critical,76,1.9,243,168219,Initial,1,"Ad-hoc, no formal process",Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This compatibility & integration supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Compliance,Severe,Identity Team,05/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF9,Business,Non-Functional,Usability & Accessibility,Provide a user-friendly interface for managing and monitoring the segmented network.,On Hold,Medium,57,3.3,126,270268,Managed,4,Measured and controlled,Conditional,Depends on other factors,0.4,Phase 1 (0-6 months),This usability & accessibility supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Financial,Moderate,Identity Team,18/07/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF10,Business,Non-Functional,Compatibility & Integration,Implement segmentation without requiring significant changes to existing network addressing schemes.,Not Started,Critical,78,3.6,42,514589,Developing,2,Some processes defined,Applicable,Relevant and beneficial,0.8,Phase 3 (12-24 months),This compatibility & integration supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Operational,Significant,Security Team,20/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF11,Business,Non-Functional,OT-Specific Requirements,Ensure that the segmentation solution can operate effectively in environments with limited bandwidth.,Not Started,Medium,39,3.3,44,462233,Developing,2,Some processes defined,Applicable,Relevant and beneficial,0.8,Phase 1 (0-6 months),This ot-specific requirements supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Financial,Significant,Compliance Team,14/10/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF12,Business,Non-Functional,Training & Knowledge Management,Provide detailed documentation and training materials for the implemented segmentation solution.,Under Review,Critical,91,2.1,73,349275,Developing,2,Some processes defined,Not Applicable,Not relevant to current scope,,Phase 3 (12-24 months),This training & knowledge management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Security,Moderate,Network Team,27/03/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF13,Business,Non-Functional,Compliance & Regulatory Management,Ensure that the segmentation solution can be audited for compliance and security purposes.,Under Review,Critical,30,1.8,273,149958,Initial,1,"Ad-hoc, no formal process",Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This compliance & regulatory management supports regulatory compliance and operational security. Mapped to A1: Governance.,Compliance gap,Financial,Moderate,Network Team,24/07/2025,06/06/2025,A1: Governance,< - Blank | Not Applicable - >,
BR-NF14,Business,Non-Functional,Technology Integration & Future Compatibility,Implement segmentation in a way that allows for future integration of new technologies and protocols.,Under Review,Medium,96,4.3,31,463691,Defined,3,Documented and standardized,Future,Planned for future phases,0.6,Phase 3 (12-24 months),This technology integration & future compatibility supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Financial,Significant,Identity Team,15/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF15,Business,Non-Functional,Environmental & Physical Considerations,"Ensure that the segmentation solution can operate effectively in harsh industrial environments (e.g., extreme temperatures, dust, vibration).",Under Review,Low,98,3.7,235,496958,Managed,4,Measured and controlled,Not Applicable,Not relevant to current scope,,Phase 3 (12-24 months),This environmental & physical considerations supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Compliance,Significant,Compliance Team,17/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF16,Business,Non-Functional,Performance & Scalability,"Minimize latency introduced by segmentation measures, especially for time-critical OT processes.",In Progress,Critical,59,2.8,216,412252,Initial,1,"Ad-hoc, no formal process",Conditional,Depends on other factors,0.4,Phase 1 (0-6 months),This performance & scalability supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Operational,Significant,Compliance Team,17/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF17,Business,Non-Functional,Compatibility & Integration,Ensure the segmentation solution is vendor-agnostic and can integrate with a wide range of OT and IT systems.,In Progress,Low,75,3.5,183,463189,Optimizing,5,Continuously improving,Applicable,Relevant and beneficial,0.8,Phase 1 (0-6 months),This compatibility & integration supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Operational,Significant,Compliance Team,03/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF18,Business,Non-Functional,Supportability & Maintenance,Provide mechanisms for easy troubleshooting and diagnostics of segmentation-related issues.,Under Review,Critical,87,5,79,161152,Managed,4,Measured and controlled,Essential,Critical for operations,1,Phase 2 (6-12 months),This supportability & maintenance supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Financial,Significant,Operations Team,04/09/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
